Unnamed: 0,Address,Locality,Price,Beds,Area,Full Bath,Half Bath,Lot Size,Latitude,Longitude
0,0 Gateway,"Rock Springs, WY 82901","$725,000",,,,,,38.68324000000007,-108.97223999999994
1,1003 Winchester Blvd.,"Rock Springs, WY 82901","$452,900",4.0,,4.0,,0.21 Acres,53.42876000000007,-2.9482399999999416
2,600 Talladega,"Rock Springs, WY 82901","$396,900",5.0,"3,154",3.0,,,33.434510000000046,-86.10268999999994
3,3239 Spearhead Way,"Rock Springs, WY 82901","$389,900",4.0,"3,076",3.0,1.0,,50.85080000000005,3.092700000000036
4,522 Emerald Street,"Rock Springs, WY 82901","$254,000",3.0,"1,172",3.0,,"Under 1/2 Acre, ",40.67844519968248,-76.24125940310044
5,1302 Veteran's Drive,"Rock Springs, WY 82901","$252,900",4.0,"1,932",2.0,,0.27 Acres,,
6,1021 Cypress Cir,"Rock Springs, WY 82901","$210,000",4.0,"1,676",3.0,,"Under 1/2 Acre, ",33.79707504706321,-118.32320989497154
7,913 Madison Dr,"Rock Springs, WY 82901","$209,000",3.0,"1,344",2.0,,"Under 1/2 Acre, ",43.07313000000005,-89.38643999999994
8,1344 Teton Street,"Rock Springs, WY 82901","$199,900",3.0,"1,920",2.0,,"Under 1/2 Acre, ",51.25416342929102,0.44142148855612545
9,4 Minnies Lane,"Rock Springs, WY 82901","$196,900",3.0,"1,664",2.0,,2.02 Acres,40.34777800000006,-94.87232599999999
10,9339 Sd 26900,"Rocksprings, TX 78880","$1,700,000",,"2,560",,,,30.14229581032537,-99.84342090760828
11,RR674P13 Hwy 377,"Rocksprings, TX 78880","$1,100,000",,"2,000",,,,,
12,0 Hwy 41,"Rocksprings, TX 78880","$1,080,000",,,,,,53.90432000000004,-110.89669999999995
13,9339 Sd 26900,"Rocksprings, TX 78880","$908,350",,"2,560",,,,30.14229581032537,-99.84342090760828
14,CR450 Hwy 377,"Rocksprings, TX 78880","$905,000",,,,,,,
15,Cr 240 Cr 240,"Rocksprings, TX 78880","$695,000",,"1,398",,,,,
16,RR674 Hwy 377,"Rocksprings, TX 78880","$605,000",,"1,738",,,,,
17,9770a Sd 26900,"Rocksprings, TX 78880","$559,805",,"1,080",,,,30.13838054326652,-99.8483894014465
18,Lot17 CR 2630,"Rocksprings, TX 78880","$504,000",,,,,,47.71613250000007,16.007600602000025
19,"Tr12,16 CR 520","Rocksprings, TX 78880","$410,000",,,,,,50.25669000000005,-5.054839890999972
20,32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324","$299,900",3.0,"2,318",2.0,,,36.75958000000003,-78.98695999999995
21,32750 S Shangrila Drive,"Black Canyon City, AZ 85324","$167,500",3.0,"2,120",2.0,,,28.695655000000045,-81.34958499999993
22,0000 Black Canyon Highway,"Black Canyon City, AZ 85324","$150,000",,,,,5 Acres,43.92735000000005,-116.44113999999996
23,34775 S CHOLLA Drive,"Black Canyon City, AZ 85324","$129,500",3.0,"1,220",2.0,,,24.375080000000025,-104.37656853599998
24,33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324","$129,000",4.0,"2,000",2.0,,,26.804655000000025,-80.07752999999997
25,34263 S Bertha Street,"Black Canyon City, AZ 85324","$80,000",5.0,"2,260",2.0,,,24.274910000000034,55.764080000000035
26,33160 S Canyon Road,"Black Canyon City, AZ 85324","$77,900",3.0,"1,248",2.0,,,40.77606000000003,-111.88493999999997
27,19421 E Todd Evans Road,"Black Canyon City, AZ 85324","$70,500",3.0,"1,404",2.0,,,40.13068640000006,-75.63840969999995
28,18688 E AGUA Vista,"Black Canyon City, AZ 85324","$70,000",,,,,0.7 Acres,34.829900000000066,-87.48523999999998
29,50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324","$67,500",,,,,3 Acres,33.903714645884776,-112.14545585081507
30,20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324","$54,900",,,,,,40.69934000000006,-120.97801999999996
31,33259 S Canyon Road,"Black Canyon City, AZ 85324","$45,600",3.0,"1,056",1.0,,,40.77606000000003,-111.88493999999997
32,34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324","$40,000",2.0,784,1.0,,Under 1/2 Acre,40.211963000000026,-74.72552899999994
33,19260 E Scenic Loop Road,"Black Canyon City, AZ 85324","$30,000",,,,,2.35 Acres,53.40957895000008,10.955538592000039
34,19000 E MAREN Avenue,"Black Canyon City, AZ 85324","$29,000",,,,,2.05 Acres,45.27834375000003,1.757120000000043
35,19350 E SAGUARO Drive,"Black Canyon City, AZ 85324","$28,995",,,,,0.73 Acres,39.78712960000007,-75.73688029999994
36,20650 E Amethyst Place,"Black Canyon City, AZ 85324","$15,000",,,,,0.31 Acres,38.30826500000006,-76.63850499999995
